Incident_ID,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop
A-6523266,False,False,False,False,False,False,False,False,False,False,False,False,False
A-393884,False,False,False,False,False,False,False,False,False,False,False,True,False
A-2909167,False,False,False,False,False,False,False,False,False,False,False,True,False
A-3337524,False,False,True,False,False,False,False,False,False,False,False,True,False
A-5268138,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1897367,False,False,False,False,False,False,False,False,False,False,False,False,False
A-268832,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2246934,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6499764,False,False,False,False,False,False,False,False,False,False,False,True,False
A-1591635,False,False,False,False,False,False,False,False,False,False,False,True,False
A-2023057,False,False,True,False,False,False,False,False,False,False,False,True,False
A-5829522,False,False,False,False,False,False,False,False,False,False,False,False,False
A-5486090,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3052796,False,False,False,False,False,False,False,False,False,False,False,True,False
A-5129568,False,False,True,False,False,False,False,False,False,False,False,True,False
A-1993356,True,False,False,False,False,False,False,False,True,False,False,True,False
A-2935937,False,False,False,False,True,False,False,False,False,False,False,True,False
A-2056162,False,False,False,False,False,False,False,False,False,False,False,False,False
A-291244,False,False,True,False,False,False,False,False,False,False,False,False,False
A-386259,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2524899,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2869776,False,False,False,False,False,False,False,False,False,False,False,True,False
A-1596488,False,False,False,False,False,False,False,False,False,False,False,True,False
A-3442839,False,False,False,False,False,False,False,False,False,False,False,False,False
A-265023,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2358276,False,False,False,False,False,False,False,False,False,False,False,True,False
A-1773082,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6950682,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2652960,False,False,False,False,False,False,False,False,False,False,False,True,False
A-299961,False,False,False,False,False,False,False,False,False,False,False,True,False
A-7384703,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1589336,False,False,True,False,False,False,False,False,False,False,False,False,False
A-274820,False,False,True,False,False,False,False,False,False,False,False,False,False
A-2385196,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2214964,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1987781,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1958818,False,False,False,False,False,False,False,False,False,False,False,True,False
A-2224656,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1983162,True,False,False,False,False,False,False,False,True,False,False,False,False
A-879390,False,False,False,False,False,False,False,False,False,False,False,False,False
A-7470916,False,False,False,False,False,False,False,False,False,False,False,True,False
A-6272242,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1358295,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2036952,False,False,False,False,False,False,False,False,False,False,False,True,False
A-4894624,False,False,False,False,False,False,False,False,False,False,False,False,False
A-5258178,False,False,True,False,False,False,False,False,False,False,False,False,False
A-4474873,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6166071,True,False,False,False,False,False,False,False,False,False,False,True,False
A-3340163,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4176005,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3940926,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6886837,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1398675,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2927787,False,False,False,False,False,False,False,False,False,False,False,False,False
A-7569452,False,False,False,False,False,False,False,False,False,False,False,False,False
A-765786,False,False,False,False,False,False,False,False,False,False,False,False,False
A-428839,False,False,False,False,False,False,False,False,False,False,False,True,False
A-509072,False,False,True,False,False,False,False,False,False,False,False,True,False
A-2560226,False,False,False,False,False,False,False,False,False,False,False,True,False
A-2495760,False,False,False,False,False,False,False,False,False,False,False,False,False
A-5554351,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2433773,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2003126,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2853728,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4646798,False,False,True,False,False,False,False,False,False,False,False,True,False
A-4006460,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1898663,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6596211,False,False,True,False,True,False,False,False,False,False,False,True,False
A-3117074,False,False,False,False,False,False,False,False,False,False,False,True,False
A-1893192,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1050562,False,False,False,False,False,False,False,False,False,False,False,False,False
A-560633,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1491218,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3108434,False,False,False,False,False,False,False,False,False,False,False,True,False
A-6912393,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2071615,False,False,False,False,False,False,False,False,False,False,False,False,False
A-5648566,False,False,False,False,True,False,False,False,False,False,False,False,False
A-305077,False,False,True,False,False,False,False,False,False,False,False,True,False
A-5333588,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3848147,False,False,False,False,False,False,False,False,False,False,False,False,False
A-5899614,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2003898,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1253345,False,False,False,False,False,False,False,False,False,False,False,False,False
A-7494870,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2879165,False,False,True,False,False,False,False,False,False,False,False,True,False
A-1818206,False,False,False,False,True,False,False,False,False,False,False,False,False
A-6748521,False,False,False,False,False,False,False,False,False,False,False,False,False
A-452350,False,False,False,False,False,False,False,False,False,False,False,True,False
A-2906525,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2712824,False,False,False,False,False,False,False,False,False,False,False,False,False
A-307052,False,False,False,False,False,False,False,False,False,False,False,True,False
A-488291,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1019741,False,False,False,False,False,False,False,False,False,False,False,False,False
A-7178988,False,False,False,False,False,False,False,False,False,False,False,True,False
A-2881564,False,False,False,False,False,False,False,False,False,False,False,True,False
A-1787695,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4749978,False,False,False,False,False,False,False,False,False,False,False,False,False
A-5371452,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6635889,False,False,False,False,False,False,False,False,False,True,False,False,False
A-1709873,False,False,False,False,False,False,False,False,False,False,False,True,False
A-5064906,False,False,False,False,False,False,False,False,False,True,False,False,False
A-3434168,False,False,True,False,False,False,False,False,True,False,False,True,False
A-5811154,False,False,False,False,False,False,False,False,False,False,False,True,False
A-332936,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1799397,False,False,False,False,False,False,False,False,False,False,False,True,False
A-4668688,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3336913,False,False,False,False,False,False,False,False,False,False,False,True,False
A-4996975,False,False,False,False,False,False,False,False,False,False,False,False,False
A-394063,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2376526,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2018007,False,False,False,False,False,False,False,False,True,False,False,False,False
A-767140,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2360591,False,False,False,False,False,False,False,False,False,False,False,False,False
A-278934,False,False,False,False,False,False,False,False,False,False,False,False,False
A-970093,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1167572,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1345801,False,False,False,False,False,False,False,False,False,False,False,False,False
A-856157,False,False,True,False,False,False,True,False,False,False,False,True,False
A-2911398,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4038433,False,False,False,False,False,False,False,False,False,False,False,False,False
A-485658,False,False,False,False,False,False,False,False,False,False,False,True,False
A-283422,False,False,False,False,True,False,False,False,False,False,False,False,False
A-2770693,False,False,True,False,False,False,False,False,False,False,False,True,False
A-2728546,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4916173,False,False,True,False,False,False,False,False,False,False,False,False,False
A-1047351,False,False,False,False,False,False,False,False,False,True,False,False,False
A-394919,False,False,False,False,False,False,False,False,False,False,False,False,False
